time,FLOW,SALT,TEMP,OGM_doc,OGM_poc,OGM_don,NIT_nit,NIT_amm,OGM_pon,PHS_frp,OGM_dop,OGM_pop,PHS_frp_ads
2003-11-08,1.7726,0,2,430.0583,347.2495,58.2379,582.3793,1.7668,31.2722,1.456,1.2089,0.4349,3.0998
2003-11-09,1.5404,0,3,430.0583,347.2495,61.0331,610.3315,1.4597,28.4029,1.3498000000000001,1.1208,0.4032,2.8737
2003-11-10,1.7698,0,3.5,430.0583,347.2495,62.1099,621.0987,1.3593,27.4014,1.2588,1.0452,0.376,2.68
2003-11-11,1.9793,0,4,430.0583,347.2495,62.1099,621.0987,1.3593,27.4014,1.2285,1.02,0.3669,2.6154
2003-11-12,1.0081,0,5,430.0583,347.2495,62.1099,621.0987,1.3593,27.4014,1.2133,1.0074,0.3624,2.5831
2003-11-13,2.4069,0,3,430.0583,347.2495,62.1099,621.0987,1.3593,27.4014,1.2133,1.0074,0.3624,2.5831
2003-11-14,1.3026,0,3,430.0583,347.2495,62.1099,621.0987,1.3593,27.4014,1.1981,0.9948,0.3579,2.5509
2003-11-15,1.7953,0,4,430.0583,347.2495,63.277,632.7699,1.2601,26.3739,1.183,0.9822,0.3534,2.5186
2003-11-16,1.6112,0,4.5,430.0583,347.2495,63.277,632.7699,1.2601,26.3739,1.1678,0.9696,0.3488,2.4863
2003-11-17,1.3252,0,5,430.0583,347.2495,63.277,632.7699,1.2601,26.3739,1.1678,0.9696,0.3488,2.4863
2003-11-18,2.271,0,7,430.0583,347.2495,56.6586,566.5859,1.9762,33.0879,1.4863,1.2341,0.444,3.1644
2003-11-19,1.985,0,6.5,430.0583,347.2495,58.2379,582.3793,1.7668,31.2722,1.365,1.1334,0.4077,2.906
2003-11-20,1.9595,0,6.5,430.0583,347.2495,61.0331,610.3315,1.4597,28.4029,1.2133,1.0074,0.3624,2.5831
2003-11-21,2.5174,0,5.5,430.0583,347.2495,62.1099,621.0987,1.3593,27.4014,1.2133,1.0074,0.3624,2.5831
2003-11-22,1.5036,0,4,430.0583,347.2495,62.1099,621.0987,1.3593,27.4014,1.2133,1.0074,0.3624,2.5831
2003-11-23,3.6812,0,4.5,430.0583,347.2495,33.1541,331.5406,17.5308,99.4069,7.3557,6.1075,2.1971,15.6603
2003-11-24,7.1925,0,1.5,430.0583,347.2495,41.0914,410.9142,7.3133,63.9831,5.293,4.3949,1.581,11.269
2003-11-25,4.0776,0,0.5,430.0583,347.2495,50.4046,504.0462,3.1823,42.067,2.6389,2.1912,0.7883,5.6183
2003-11-26,3.1432,0,0.5,430.0583,347.2495,54.6074,546.0736,2.2965,35.6898,1.911,1.5867,0.5708,4.0685
2003-11-27,2.3163,0,1.5,430.0583,347.2495,56.6586,566.5859,1.9762,33.0879,1.456,1.2089,0.4349,3.0998
2003-11-28,2.1889,0,1,430.0583,347.2495,57.424,574.2403,1.8711,32.1888,1.3953,1.1585,0.4168,2.9706
2003-11-29,1.7556,0,0.5,430.0583,347.2495,58.2379,582.3793,1.7668,31.2722,1.3953,1.1585,0.4168,2.9706
2003-11-30,1.9482,0,0.5,430.0583,347.2495,59.106,591.0603,1.6635,30.3366,1.3801,1.1459,0.4122,2.9383
2003-12-01,2.3984,0,0.5,430.0583,347.2495,59.106,591.0603,1.6635,30.3366,1.3801,1.1459,0.4122,2.9383
2003-12-02,1.951,0,0.5,430.0583,347.2495,60.0351,600.3509,1.5611,29.3807,1.3801,1.1459,0.4122,2.9383
