"record_id","param","sampledate","value"
"1","Month","2000-03-15","3"
"2","Year","2000-03-15","00"
"3","Season","2000-03-15","winter"
"4","serialdate","2000-03-15","730560"
"5","Alk","2000-03-15","3747"
"6","Ca","2000-03-15","35.401"
"7","Chl","2000-03-15","4.259"
"8","Cl","2000-03-15","35.63"
"9","DIC","2000-03-15","48.10"
"10","DO","2000-03-15","12.733"
"11","DOC","2000-03-15","5.58"
"12","DOsat","2000-03-15","103.385"
"13","DRSilica","2000-03-15","0.858"
"14","Fe","2000-03-15","0.005"
"15","K","2000-03-15","3.47"
"16","Mg","2000-03-15","33.03"
"17","Mn","2000-03-15","0.01885"
"18","NH4","2000-03-15","0.4259"
"19","NO3NO2","2000-03-15","0.38919"
"20","Na","2000-03-15","16.33"
"21","SO4","2000-03-15","18.53"
"22","SRP","2000-03-15","0.0842"
"23","TIC","2000-03-15","47.936"
"24","TKN","2000-03-15","0.9273"
"25","TOC","2000-03-15","5.5279"
"26","TP","2000-03-15","0.109"
"27","Temp","2000-03-15","4.534"
"28","Zoop","2000-03-15","41066"
"29","pH","2000-03-15","8.401"
"30","secchi","2000-03-15","4.885"
"31","Bacillariophyta","2000-03-15","0.319188749"
"32","Chlorophyta","2000-03-15","0.021190818"
"33","Cyanophyta","2000-03-15","0.307038507"
"34","DayLength","2000-03-15","11.73320887"
"35","Month","2000-03-30","3"
"36","Year","2000-03-30","00"
"37","Season","2000-03-30","spring"
"38","serialdate","2000-03-30","730575"
"39","Alk","2000-03-30","3730"
"40","Ca","2000-03-30","35.840"
"41","Chl","2000-03-30","9.922"
"42","Cl","2000-03-30","35.82"
"43","DIC","2000-03-30","47.50"
"44","DO","2000-03-30","13.134"
"45","DOC","2000-03-30","5.89"
"46","DOsat","2000-03-30","109.056"
"47","DRSilica","2000-03-30","0.492"
"48","Fe","2000-03-30","0.007"
"49","K","2000-03-30","3.46"
"50","Mg","2000-03-30","33.16"
"51","Mn","2000-03-30","0.02586"
"52","NH4","2000-03-30","0.2854"
"53","NO3NO2","2000-03-30","0.40119"
"54","Na","2000-03-30","16.35"
"55","SO4","2000-03-30","18.59"
"56","SRP","2000-03-30","0.0668"
"57","TIC","2000-03-30","47.011"
"58","TKN","2000-03-30","0.9297"
"59","TOC","2000-03-30","5.7864"
"60","TP","2000-03-30","0.095"
"61","Temp","2000-03-30","5.341"
"62","Zoop","2000-03-30","41536"
"63","pH","2000-03-30","8.453"
"64","secchi","2000-03-30","3.024"
"65","Bacillariophyta","2000-03-30","0.875966252"
"66","Chlorophyta","2000-03-30","0.025580211"
"67","Cyanophyta","2000-03-30","0.239536919"
"68","DayLength","2000-03-30","12.48567595"
"69","Month","2000-04-14","4"
"70","Year","2000-04-14","00"
"71","Season","2000-04-14","spring"
"72","serialdate","2000-04-14","730590"
"73","Alk","2000-04-14","3735"
"74","Ca","2000-04-14","36.280"
"75","Chl","2000-04-14","6.657"
"76","Cl","2000-04-14","36.05"
"77","DIC","2000-04-14","47.44"
"78","DO","2000-04-14","11.875"
"79","DOC","2000-04-14","5.94"
"80","DOsat","2000-04-14","104.708"
"81","DRSilica","2000-04-14","0.295"
"82","Fe","2000-04-14","0.009"
"83","K","2000-04-14","3.46"
"84","Mg","2000-04-14","33.34"
"85","Mn","2000-04-14","0.03089"
"86","NH4","2000-04-14","0.2405"
"87","NO3NO2","2000-04-14","0.42505"
"88","Na","2000-04-14","16.39"
"89","SO4","2000-04-14","18.68"
"90","SRP","2000-04-14","0.0582"
"91","TIC","2000-04-14","47.271"
"92","TKN","2000-04-14","0.9230"
"93","TOC","2000-04-14","5.8919"
"94","TP","2000-04-14","0.091"
"95","Temp","2000-04-14","8.223"
"96","Zoop","2000-04-14","77348"
