DateTime,Depth,PHY_TCHLA
2004-05-25,0.1,1.23
2004-06-21,0.1,1.26
2004-07-26,0.1,1.09
2004-08-23,0.1,1.43
2004-09-20,0.1,1.11
2005-06-27,0.1,1.97
2005-07-25,0.1,1.61
2005-08-22,0.1,1.25
2005-09-14,0.1,2.16
2006-05-31,0.1,0.92
2006-07-05,0.1,1.09
2006-07-24,0.1,1.61
2006-08-15,10,1.74
2006-09-11,0.1,5.28
2006-10-09,0.1,4.35
2007-06-11,0.1,1.64
2007-07-16,0.1,2.3
2007-08-14,0,1.42
2007-08-14,0.1,1.64
2007-09-11,0.1,1.75
2008-06-03,0.1,1.61
2008-07-01,0.1,1.8
2008-07-29,0.1,2.25
2008-07-29,10.5,2.25
2008-09-02,0.1,1.78
2009-05-26,0.1,0.2
2009-06-22,0.1,2.15
2009-07-13,0.1,0.95
2009-08-12,0.1,1.83
2009-09-01,0.1,2.84
2009-10-05,0.1,1.99
2010-06-02,0.1,1.45
2010-07-12,0.1,1.42
2010-07-12,8.5,1.42
2010-08-17,0.1,1.47
2010-09-13,0.1,1.44
2011-05-31,0.1,1.46
2011-06-21,0.1,1.63
2011-06-21,7.5,1.63
2011-07-19,0.1,1.65
2011-08-18,0.1,2.36
2011-09-19,0.1,2.71
2012-05-23,0.1,1.77
2012-06-19,0.1,1.49
2012-06-19,8,0.95
2012-07-23,0.1,0.92
2012-08-20,0.1,1.41
2012-09-17,0.1,1.09
2013-06-17,0.1,1.03
2013-07-15,0.1,1.25
2013-07-15,8.5,1.04
2013-08-19,0.1,2.17
2013-09-17,0.1,2.93
